gene,species,summary_uid,summary_symbol,summary_name,summary_type,summary_chromosome,summary_text,disease_count,disease_names,domain_count,domain_names,ols_identity_count,ols_identity_labels,ols_function_count,ols_function_labels,error
PLPP3,Homo,8613,PLPP3,phospholipid phosphatase 3,,1,"The protein encoded by this gene is a member of the phosphatidic acid phosphatase (PAP) family. PAPs convert phosphatidic acid to diacylglycerol, and function in de novo synthesis of glycerolipids as well as in receptor-activated signal transduction mediated by phospholipase D. This protein is a membrane glycoprotein localized at the cell plasma membrane. It has been shown to actively hydrolyze extracellular lysophosphatidic acid and short-chain phosphatidic acid. The expression of this gene is found to be enhanced by epidermal growth factor in Hela cells. [provided by RefSeq, Mar 2010]",0,,0,,1,PLPP3,0,,
DAB1,Homo,1600,DAB1,DAB adaptor protein 1,,1,"The laminar organization of multiple neuronal types in the cerebral cortex is required for normal cognitive function. In mice, the disabled-1 gene plays a central role in brain development, directing the migration of cortical neurons past previously formed neurons to reach their proper layer. This gene is similar to disabled-1, and the protein encoded by this gene is thought to be a signal transducer that interacts with protein kinase pathways to regulate neuronal positioning in the developing brain. [provided by RefSeq, Jan 2017]",0,,0,,2,DAB1; DAB1-AS1,0,,
AL136985.3,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
JUN,Homo,3725,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit",,1,"This gene is the putative transforming gene of avian sarcoma virus 17. It encodes a protein which is highly similar to the viral protein, and which interacts directly with specific target DNA sequences to regulate gene expression. This gene is intronless and is mapped to 1p32-p31, a chromosomal region involved in both translocations and deletions in human malignancies. [provided by RefSeq, Jul 2008]",0,,0,,10,JUN; Jun transcription factor family; JDP2; MAPK9; MAPK8; LINC02551; TRAF3IP3; JUN-DT; JUND; BATF3,10,JUN kinase phosphatase activity; JUN kinase binding; JUN kinase activity; JUN phosphorylation; JUN kinase kinase kinase kinase activity; JUN kinase kinase activity; regulation of JUN kinase activity; transcription factor AP-1 complex; positive regulation of JUN kinase activity; negative regulation of JUN kinase activity,
FGGY,Homo,,,,,,,0,,0,,2,FGGY; FGGY-DT,0,,summary_not_found
NFIA,Homo,4774,NFIA,nuclear factor I A,,1,"This gene encodes a member of the NF1 (nuclear factor 1) family of transcription factors. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2011]",0,,0,,3,NFIA; NFIA-AS2; NFIA-AS1,0,,
NFIA-AS2,Homo,,,,,,,0,,0,,1,NFIA-AS2,0,,summary_not_found
L1TD1,Homo,,,,,,,0,,0,,2,L1TD1; LINE1 element derived gene,0,,summary_not_found
ANGPTL3,Homo,,,,,,,0,,0,,1,ANGPTL3,0,,summary_not_found
ROR1,Homo,4919,ROR1,receptor tyrosine kinase like orphan receptor 1,,1,"This gene encodes a receptor tyrosine kinase-like orphan receptor that modulates neurite growth in the central nervous system. The encoded protein is a glycosylated type I membrane protein that belongs to the ROR subfamily of cell surface receptors. It is a pseudokinase that lacks catalytic activity and may interact with the non-canonical Wnt signalling pathway. This gene is highly expressed during early embryonic development but expressed at very low levels in adult tissues. Increased expression of this gene is associated with B-cell chronic lymphocytic leukaemia. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jun 2012]",0,,0,,3,ROR1; ROR1-AS1; RORA,0,,
CACHD1,Homo,57685,CACHD1,cache domain containing 1,,1,"Predicted to enable voltage-gated calcium channel activity. Predicted to be involved in calcium ion transmembrane transport. Predicted to be located in membrane. Predicted to be part of voltage-gated calcium channel complex. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,1,CACHD1,0,,
DNAJC6,Homo,9829,DNAJC6,DnaJ heat shock protein family (Hsp40) member C6,,1,"DNAJC6 belongs to the evolutionarily conserved DNAJ/HSP40 family of proteins, which regulate molecular chaperone activity by stimulating ATPase activity. DNAJ proteins may have up to 3 distinct domains: a conserved 70-amino acid J domain, usually at the N terminus, a glycine/phenylalanine (G/F)-rich region, and a cysteine-rich domain containing 4 motifs resembling a zinc finger domain (Ohtsuka and Hata, 2000 [PubMed 11147971]).[supplied by OMIM, Mar 2008]",0,,0,,2,DNAJC6; DNAJC6-AS1,0,,
AL139294.1,Homo,,,,,,,0,,0,,1,DNAJC6-AS1,0,,summary_not_found
LEPR,Homo,3953,LEPR,leptin receptor,,1,"The protein encoded by this gene belongs to the gp130 family of cytokine receptors that are known to stimulate gene transcription via activation of cytosolic STAT proteins. This protein is a receptor for leptin (an adipocyte-specific hormone that regulates body weight), and is involved in the regulation of fat metabolism, as well as in a novel hematopoietic pathway that is required for normal lymphopoiesis. Mutations in this gene have been associated with obesity and pituitary dysfunction. Alternatively spliced transcript variants encoding different isoforms have been described for this gene. It is noteworthy that this gene and LEPROT gene (GeneID:54741) share the same promoter and the first 2 exons, however, encode distinct proteins (PMID:9207021).[provided by RefSeq, Nov 2010]",0,,0,,1,LEPR,0,,
PDE4B,Homo,5142,PDE4B,phosphodiesterase 4B,,1,"This gene is a member of the type IV, cyclic AMP (cAMP)-specific, cyclic nucleotide phosphodiesterase (PDE) family. The encoded protein regulates the cellular concentrations of cyclic nucleotides and thereby play a role in signal transduction. Altered activity of this protein has been associated with schizophrenia and bipolar affective disorder. Alternative splicing and the use of alternative promoters results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jul 2014]",0,,0,,2,PDE4B; PDE4B-AS1,0,,
TCTEX1D1,Homo,200132,DYNLT5,dynein light chain Tctex-type family member 5,,1,"Predicted to enable dynein intermediate chain binding activity. Predicted to be involved in microtubule-based movement. Predicted to be part of cytoplasmic dynein complex. Predicted to be active in cytoplasm. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,1,DYNLT5,0,,
IL23R,Homo,149233,IL23R,interleukin 23 receptor,,1,"The protein encoded by this gene is a subunit of the receptor for IL23A/IL23. This protein pairs with the receptor molecule IL12RB1/IL12Rbeta1, and both are required for IL23A signaling. This protein associates constitutively with Janus kinase 2 (JAK2), and also binds to transcription activator STAT3 in a ligand-dependent manner. [provided by RefSeq, Jul 2008]",0,,0,,1,IL23R,1,interleukin-23 receptor,
IL12RB2,Homo,3595,IL12RB2,interleukin 12 receptor subunit beta 2,,1,"The protein encoded by this gene is a type I transmembrane protein identified as a subunit of the interleukin 12 receptor complex. The coexpression of this and IL12RB1 proteins was shown to lead to the formation of high-affinity IL12 binding sites and reconstitution of IL12 dependent signaling. The expression of this gene is up-regulated by interferon gamma in Th1 cells, and plays a role in Th1 cell differentiation. The up-regulation of this gene is found to be associated with a number of infectious diseases, such as Crohn's disease and leprosy, which is thought to contribute to the inflammatory response and host defense. Several transcript variants encoding different isoforms and non-protein coding transcripts have been found for this gene. [provided by RefSeq, Apr 2012]",0,,0,,1,IL12RB2,2,interleukin-12-interleukin-12 receptor complex; interleukin-12 receptor complex,
GNG12,Homo,55970,GNG12,G protein subunit gamma 12,,1,"Enables PDZ domain binding activity. Predicted to be involved in G protein-coupled receptor signaling pathway. Located in extracellular exosome. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,2,GNG12; GNG12-AS1,0,,
LRRC7,Homo,57554,LRRC7,leucine rich repeat containing 7,,1,"Predicted to enable protein kinase binding activity. Predicted to be involved in several processes, including establishment or maintenance of epithelial cell apical/basal polarity; positive regulation of neuron projection development; and protein localization to membrane. Located in several cellular components, including centrosome; cytosol; and nucleoplasm. Implicated in cocaine dependence. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,2,LRRC7; LRRC7-AS1,0,,
ZRANB2-AS2,Homo,100852410,ZRANB2-DT,ZRANB2 divergent transcript,,1,,0,,0,,1,ZRANB2-DT,0,,
